字段 13,字段 9,字段 10,字段 12,字段 8,公司,字段 1,字段 15,字段 6,父记录 2,链接,字段 5,字段 4,字段 2,字段 3,公司2,字段 7,链接2,字段 14,父记录,字段 11,字段 16
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中国机械工业集团有限公司,,,,,https://www.sinomach.com.cn/,,,,,中国建设科技有限公司,,http://www.cadreg.com.cn/,,,,
,,,,,黑龙江省事业单位公开招聘服务平台,贵州,,,,,——,,,陕西,重庆,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中国一重集团有限公司,,,,,https://www.cfhi.com/,,,,,中国保利集团有限公司,,https://www.poly.com.cn/,,,,
,,,,,中国南方电网有限责任公司,,,,,http://www.csg.cn/,,,,,中国稀土集团有限公司,,https://crec.iguopin.com/job,,,,
,,,,,招商局集团有限公司,,,,,https://www.cmhk.com/main/,,,,,中国国新控股有限责任公司,,https://www.crhc.cn/,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中华人民共和国人力资源和社会保障部,,,,,http://www.mohrss.gov.cn/SYrlzyhshbzb/fwyd/SYkaoshizhaopin/zyhgjjgsydwgkzp/,,,,,,,,,,,
,,,,,中国第一汽车集团有限公司,,,,,http://www.faw.com.cn/,,,,,中国林业集团有限公司,,http://www.cfgc.cn/,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中国建筑集团有限公司,,,,,https://www.cscec.com/,,,,,中国电气装备集团有限公司,,http://www.cee-group.cn/,,,,
,,,,,中国联合网络通信集团有限公司,,,,,http://www.chinaunicom.com.cn/,,,,,中国铁道建筑集团有限公司,,https://www.crcc.cn/,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,国家石油天然气管网集团有限公司,,,,,https://www.pipechina.com.cn/,,,,,中国建材集团有限公司,,http://www.cnbm.com.cn/,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中国航空集团有限公司,,,,,http://www.airchinagroup.com/cnah/,,,,,中国能源建设集团有限公司,,http://www.ceec.net.cn/,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,中国船舶集团有限公司,,,,,http://www.csic.com.cn/index.html,,,,,中国国际工程咨询有限公司,,https://www.ciecc.com.cn/,,,,
,,,,,中国南方航空集团有限公司,,,,,https://www.csair.cn/cn/,,,,,中国黄金集团有限公司,,http://www.chinagoldgroup.com/,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,国家公开招聘平台,,,,,,,,,,,,,,,,
