year,工作类型,考试/招聘类型,用人单位/系统,岗位示例,学历要求,本科生专业要求,研究生专业要求,考试/招聘形式,报名时间,笔试/考试时间,特殊要求,工作地点,信息来源,备注,专业要求（原始）
2025,三支一扶,2025安徽三支一扶招募,县辖乡镇,16302 县辖乡镇,大专及以上,大专：45水利大类； 大学本科：0811水利类、082305农业水利工程； 研究生：0815水利工程、0859土木水利。,,笔试+面试,,,招募类别：支农-水利；服务单位：乡镇政府；招聘人数：4；报名人数：27；合格人数：22；缴费人数：14,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：45水利大类； 大学本科：0811水利类、082305农业水利工程； 研究生：0815水利工程、0859土木水利。
2025,三支一扶,2025安徽三支一扶招募,县辖乡镇,16303 县辖乡镇,大专及以上,大专：4101农业类，4103畜牧业类； 大学本科：0904动物医学类，0823农业工程类； 研究生：0905畜牧学，0906兽医学，0828农业工程。,,笔试+面试,,,招募类别：支农-农技；服务单位：北浴乡农技站；招聘人数：1；报名人数：5；合格人数：5；缴费人数：0,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：4101农业类，4103畜牧业类； 大学本科：0904动物医学类，0823农业工程类； 研究生：0905畜牧学，0906兽医学，0828农业工程。
2025,三支一扶,2025安徽三支一扶招募,县辖乡镇,16304 县辖乡镇,大专及以上,大专：4101农业类； 大学本科：09农学门类、0823农业工程类； 研究生：09农学门类、0828农业工程。,,笔试+面试,,,招募类别：支农-农技；服务单位：孚玉镇政府；招聘人数：1；报名人数：12；合格人数：10；缴费人数：5,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：4101农业类； 大学本科：09农学门类、0823农业工程类； 研究生：09农学门类、0828农业工程。
2025,三支一扶,2025安徽三支一扶招募,县辖乡镇,16305 县辖乡镇,大专及以上,大专：4102林业类； 本科：0905林学类； 研究生：0907林学、0954林业。,,笔试+面试,,,招募类别：支农-林业；服务单位：乡镇政府；招聘人数：2；报名人数：8；合格人数：7；缴费人数：6,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：大专：4102林业类； 本科：0905林学类； 研究生：0907林学、0954林业。
2025,三支一扶,2025安徽三支一扶招募,县辖乡镇,16306 县辖乡镇,大专及以上,专业不限,,笔试+面试,,,招募类别：基层人社平台；服务单位：乡镇政府；招聘人数：2；报名人数：175；合格人数：157；缴费人数：96,安徽 安庆市宿松县,https://www.xduim.com/zw/szyf,,专业：专业不限
2023,三支一扶,2023安徽三支一扶招募,县辖乡镇,16015 县辖乡镇,大专及以上,不限,,笔试+面试,,,招募类别：乡村振兴协理；服务单位：乡镇人民政府；招聘人数：8；报名人数：412；合格人数：317；缴费人数：209,安徽 安庆市岳西县,https://www.xduim.com/zw/szyf,,专业：不限
2024,三支一扶,2024安徽三支一扶招募,县辖乡镇,16257 县辖乡镇,大专及以上,不限,,笔试+面试,,,招募类别：乡村振兴协理；服务单位：乡镇人民政府；招聘人数：5；报名人数：337；合格人数：273；缴费人数：132,安徽 安庆市岳西县,https://www.xduim.com/zw/szyf,,专业：不限
2025,三支一扶,2025安徽三支一扶招募,县辖乡镇,16277 县辖乡镇,大专及以上,专业不限,,笔试+面试,,,招募类别：乡村振兴协理；服务单位：乡镇人民政府；招聘人数：3；报名人数：221；合格人数：186；缴费人数：92,安徽 安庆市岳西县,https://www.xduim.com/zw/szyf,,专业：专业不限
2025,三支一扶,2025安徽三支一扶招募,县辖乡镇,16278 县辖乡镇,大专及以上,专业不限,,笔试+面试,,,招募类别：基层人社平台；服务单位：乡镇人民政府；招聘人数：3；报名人数：226；合格人数：184；缴费人数：93,安徽 安庆市岳西县,https://www.xduim.com/zw/szyf,,专业：专业不限
2022,三支一扶,2022安徽三支一扶招募,县教育局,16008 县教育局,大专及以上,不限,,笔试+面试,,,招募类别：支教；服务单位：基层小学；招聘人数：5,安徽 安庆市怀宁县,https://www.xduim.com/zw/szyf,,专业：不限
2022,三支一扶,2022安徽三支一扶招募,县卫健委,16009 县卫健委,大专及以上,医药卫生大类（大专），医学门类（本科）,,笔试+面试,,,招募类别：支医；服务单位：乡镇卫生院；招聘人数：5,安徽 安庆市怀宁县,https://www.xduim.com/zw/szyf,,专业：医药卫生大类（大专），医学门类（本科）
2022,三支一扶,2022安徽三支一扶招募,县农业农村局,16010 县农业农村局,大专及以上,农林牧渔大类（大专），农学门类、农业工程类和其他授予农学学士学位的专业（本科）,,笔试+面试,,,招募类别：支农；服务单位：乡镇农业站；招聘人数：5,安徽 安庆市怀宁县,https://www.xduim.com/zw/szyf,,专业：农林牧渔大类（大专），农学门类、农业工程类和其他授予农学学士学位的专业（本科）
2022,三支一扶,2022安徽三支一扶招募,县林业局,16011 县林业局,大专及以上,林业类、环境保护类（大专)，生态学、林业工程类、环境科学与工程类、自然保护与环境生态类、林学类、农业经济管理类和其他授予农学学士林学、授予工学学士林业工程专业（本科）,,笔试+面试,,,招募类别：支农；服务单位：黄龙林业站；招聘人数：1,安徽 安庆市怀宁县,https://www.xduim.com/zw/szyf,,专业：林业类、环境保护类（大专)，生态学、林业工程类、环境科学与工程类、自然保护与环境生态类、林学类、农业经济管理类和其他授予农学学士林学、授予工学学士林业工程专业（本科）
2022,三支一扶,2022安徽三支一扶招募,县辖乡镇,16012 县辖乡镇,大专及以上,不限,,笔试+面试,,,招募类别：基层人社平台；服务单位：乡镇社保所；招聘人数：2,安徽 安庆市怀宁县,https://www.xduim.com/zw/szyf,,专业：不限
2023,三支一扶,2023安徽三支一扶招募,县人社局,16005 县人社局,大专及以上,不限,,笔试+面试,,,招募类别：基层人社平台；服务单位：乡镇人社所；招聘人数：7；报名人数：357；合格人数：212；缴费人数：149,安徽 安庆市怀宁县,https://www.xduim.com/zw/szyf,,专业：不限
2023,三支一扶,2023安徽三支一扶招募,县乡村振兴局,16006 县乡村振兴局,大专及以上,不限,,笔试+面试,,,招募类别：乡村振兴协理；服务单位：乡村振兴工作站；招聘人数：4；报名人数：184；合格人数：113；缴费人数：77,安徽 安庆市怀宁县,https://www.xduim.com/zw/szyf,,专业：不限
2023,三支一扶,2023安徽三支一扶招募,县农业农村局,16007 县农业农村局,大专及以上,农业类、畜牧业类、渔业类（大专）；农学门类、农业工程类和其他授予农学学士学位的专业（本科）；农学门类及其他授予农学硕士学位的专业（研究生）,,笔试+面试,,,招募类别：支农；服务单位：乡镇农业站；招聘人数：2；报名人数：25；合格人数：20；缴费人数：15,安徽 安庆市怀宁县,https://www.xduim.com/zw/szyf,,专业：农业类、畜牧业类、渔业类（大专）；农学门类、农业工程类和其他授予农学学士学位的专业（本科）；农学门类及其他授予农学硕士学位的专业（研究生）
